key,affinity,fold0,fold1,fold2,fold3,fold4
1WWD_0_RNA_B_1WWD_0_PROT_A,-9.15,train,train,train,test,train
1WWD_10_RNA_B_1WWD_10_PROT_A,-9.15,train,train,train,test,train
1WWD_11_RNA_B_1WWD_11_PROT_A,-9.15,train,train,train,test,train
1WWD_12_RNA_B_1WWD_12_PROT_A,-9.15,train,train,train,test,train
1WWD_13_RNA_B_1WWD_13_PROT_A,-9.15,train,train,train,test,train
1WWD_14_RNA_B_1WWD_14_PROT_A,-9.15,train,train,train,test,train
1WWD_15_RNA_B_1WWD_15_PROT_A,-9.15,train,train,train,test,train
1WWD_16_RNA_B_1WWD_16_PROT_A,-9.15,train,train,train,test,train
1WWD_17_RNA_B_1WWD_17_PROT_A,-9.15,train,train,train,test,train
1WWD_18_RNA_B_1WWD_18_PROT_A,-9.15,train,train,train,test,train
1WWD_19_RNA_B_1WWD_19_PROT_A,-9.15,train,train,train,test,train
1WWD_1_RNA_B_1WWD_1_PROT_A,-9.15,train,train,train,test,train
1WWD_2_RNA_B_1WWD_2_PROT_A,-9.15,train,train,train,test,train
1WWD_3_RNA_B_1WWD_3_PROT_A,-9.15,train,train,train,test,train
1WWD_4_RNA_B_1WWD_4_PROT_A,-9.15,train,train,train,test,train
1WWD_5_RNA_B_1WWD_5_PROT_A,-9.15,train,train,train,test,train
1WWD_6_RNA_B_1WWD_6_PROT_A,-9.15,train,train,train,test,train
1WWD_7_RNA_B_1WWD_7_PROT_A,-9.15,train,train,train,test,train
1WWD_8_RNA_B_1WWD_8_PROT_A,-9.15,train,train,train,test,train
1WWD_9_RNA_B_1WWD_9_PROT_A,-9.15,train,train,train,test,train
1WWE_0_RNA_B_1WWE_0_PROT_A,-9.23,train,train,train,test,train
1WWE_10_RNA_B_1WWE_10_PROT_A,-9.23,train,train,train,test,train
1WWE_11_RNA_B_1WWE_11_PROT_A,-9.23,train,train,train,test,train
1WWE_12_RNA_B_1WWE_12_PROT_A,-9.23,train,train,train,test,train
1WWE_13_RNA_B_1WWE_13_PROT_A,-9.23,train,train,train,test,train
1WWE_14_RNA_B_1WWE_14_PROT_A,-9.23,train,train,train,test,train
1WWE_15_RNA_B_1WWE_15_PROT_A,-9.23,train,train,train,test,train
1WWE_16_RNA_B_1WWE_16_PROT_A,-9.23,train,train,train,test,train
1WWE_17_RNA_B_1WWE_17_PROT_A,-9.23,train,train,train,test,train
1WWE_18_RNA_B_1WWE_18_PROT_A,-9.23,train,train,train,test,train
1WWE_19_RNA_B_1WWE_19_PROT_A,-9.23,train,train,train,test,train
1WWE_1_RNA_B_1WWE_1_PROT_A,-9.23,train,train,train,test,train
1WWE_2_RNA_B_1WWE_2_PROT_A,-9.23,train,train,train,test,train
1WWE_3_RNA_B_1WWE_3_PROT_A,-9.23,train,train,train,test,train
1WWE_4_RNA_B_1WWE_4_PROT_A,-9.23,train,train,train,test,train
1WWE_5_RNA_B_1WWE_5_PROT_A,-9.23,train,train,train,test,train
1WWE_6_RNA_B_1WWE_6_PROT_A,-9.23,train,train,train,test,train
1WWE_7_RNA_B_1WWE_7_PROT_A,-9.23,train,train,train,test,train
1WWE_8_RNA_B_1WWE_8_PROT_A,-9.23,train,train,train,test,train
1WWE_9_RNA_B_1WWE_9_PROT_A,-9.23,train,train,train,test,train
1WWF_0_RNA_B_1WWF_0_PROT_A,-9.581,train,train,train,test,train
1WWF_10_RNA_B_1WWF_10_PROT_A,-9.581,train,train,train,test,train
1WWF_11_RNA_B_1WWF_11_PROT_A,-9.581,train,train,train,test,train
1WWF_12_RNA_B_1WWF_12_PROT_A,-9.581,train,train,train,test,train
1WWF_13_RNA_B_1WWF_13_PROT_A,-9.581,train,train,train,test,train
1WWF_14_RNA_B_1WWF_14_PROT_A,-9.581,train,train,train,test,train
1WWF_15_RNA_B_1WWF_15_PROT_A,-9.581,train,train,train,test,train
1WWF_16_RNA_B_1WWF_16_PROT_A,-9.581,train,train,train,test,train
1WWF_17_RNA_B_1WWF_17_PROT_A,-9.581,train,train,train,test,train
1WWF_18_RNA_B_1WWF_18_PROT_A,-9.581,train,train,train,test,train
1WWF_19_RNA_B_1WWF_19_PROT_A,-9.581,train,train,train,test,train
1WWF_1_RNA_B_1WWF_1_PROT_A,-9.581,train,train,train,test,train
1WWF_2_RNA_B_1WWF_2_PROT_A,-9.581,train,train,train,test,train
1WWF_3_RNA_B_1WWF_3_PROT_A,-9.581,train,train,train,test,train
1WWF_4_RNA_B_1WWF_4_PROT_A,-9.581,train,train,train,test,train
1WWF_5_RNA_B_1WWF_5_PROT_A,-9.581,train,train,train,test,train
1WWF_6_RNA_B_1WWF_6_PROT_A,-9.581,train,train,train,test,train
1WWF_7_RNA_B_1WWF_7_PROT_A,-9.581,train,train,train,test,train
1WWF_8_RNA_B_1WWF_8_PROT_A,-9.581,train,train,train,test,train
1WWF_9_RNA_B_1WWF_9_PROT_A,-9.581,train,train,train,test,train
1WWG_0_RNA_B_1WWG_0_PROT_A,-9.575,train,train,train,test,train
1WWG_10_RNA_B_1WWG_10_PROT_A,-9.575,train,train,train,test,train
1WWG_11_RNA_B_1WWG_11_PROT_A,-9.575,train,train,train,test,train
1WWG_12_RNA_B_1WWG_12_PROT_A,-9.575,train,train,train,test,train
1WWG_13_RNA_B_1WWG_13_PROT_A,-9.575,train,train,train,test,train
1WWG_14_RNA_B_1WWG_14_PROT_A,-9.575,train,train,train,test,train
1WWG_15_RNA_B_1WWG_15_PROT_A,-9.575,train,train,train,test,train
1WWG_16_RNA_B_1WWG_16_PROT_A,-9.575,train,train,train,test,train
1WWG_17_RNA_B_1WWG_17_PROT_A,-9.575,train,train,train,test,train
1WWG_18_RNA_B_1WWG_18_PROT_A,-9.575,train,train,train,test,train
1WWG_19_RNA_B_1WWG_19_PROT_A,-9.575,train,train,train,test,train
1WWG_1_RNA_B_1WWG_1_PROT_A,-9.575,train,train,train,test,train
1WWG_2_RNA_B_1WWG_2_PROT_A,-9.575,train,train,train,test,train
1WWG_3_RNA_B_1WWG_3_PROT_A,-9.575,train,train,train,test,train
1WWG_4_RNA_B_1WWG_4_PROT_A,-9.575,train,train,train,test,train
1WWG_5_RNA_B_1WWG_5_PROT_A,-9.575,train,train,train,test,train
1WWG_6_RNA_B_1WWG_6_PROT_A,-9.575,train,train,train,test,train
1WWG_7_RNA_B_1WWG_7_PROT_A,-9.575,train,train,train,test,train
1WWG_8_RNA_B_1WWG_8_PROT_A,-9.575,train,train,train,test,train
1WWG_9_RNA_B_1WWG_9_PROT_A,-9.575,train,train,train,test,train
1Y39_0_RNA_C_1Y39_0_PROT_A,-6.87,test,train,train,train,train
1YTY_0_RNA_C_1YTY_0_PROT_A,-11.12,train,test,train,train,train
1ZH5_0_RNA_D_1ZH5_0_PROT_A,-11.119,train,test,train,train,train
1ZHO_0_RNA_B_1ZHO_0_PROT_A,-10.26,train,train,test,train,train
2A9X_0_RNA_2_2A9X_0_PROT_1,-9.304,train,train,train,test,train
2A9X_1_RNA_2_2A9X_1_PROT_1,-9.304,train,train,train,test,train
2A9X_2_RNA_2_2A9X_2_PROT_1,-9.304,train,train,train,test,train
2A9X_3_RNA_2_2A9X_3_PROT_1,-9.304,train,train,train,test,train
2A9X_4_RNA_2_2A9X_4_PROT_1,-9.304,train,train,train,test,train
2A9X_5_RNA_2_2A9X_5_PROT_1,-9.304,train,train,train,test,train
2A9X_6_RNA_2_2A9X_6_PROT_1,-9.304,train,train,train,test,train
2A9X_7_RNA_2_2A9X_7_PROT_1,-9.304,train,train,train,test,train
2A9X_8_RNA_2_2A9X_8_PROT_1,-9.304,train,train,train,test,train
2A9X_9_RNA_2_2A9X_9_PROT_1,-9.304,train,train,train,test,train
2ANN_0_RNA_B_2ANN_0_PROT_A,-8.7,train,train,train,train,test
2B6G_0_RNA_B_2B6G_0_PROT_A,-10.26,test,train,train,train,train
2C4R_0_RNA_R_2C4R_0_PROT_L,-9.5,train,train,train,test,train
2F8K_0_RNA_B_2F8K_0_PROT_A,-10.37,test,train,train,train,train
2G4B_0_RNA_B_2G4B_0_PROT_A,-7.833,train,test,train,train,train
2HGH_0_RNA_B_2HGH_0_PROT_A,-11.04,train,train,train,train,test
2HGH_10_RNA_B_2HGH_10_PROT_A,-11.04,train,train,train,train,test
2HGH_11_RNA_B_2HGH_11_PROT_A,-11.04,train,train,train,train,test
2HGH_12_RNA_B_2HGH_12_PROT_A,-11.04,train,train,train,train,test
2HGH_13_RNA_B_2HGH_13_PROT_A,-11.04,train,train,train,train,test
2HGH_14_RNA_B_2HGH_14_PROT_A,-11.04,train,train,train,train,test
2HGH_15_RNA_B_2HGH_15_PROT_A,-11.04,train,train,train,train,test
2HGH_16_RNA_B_2HGH_16_PROT_A,-11.04,train,train,train,train,test
2HGH_17_RNA_B_2HGH_17_PROT_A,-11.04,train,train,train,train,test
2HGH_18_RNA_B_2HGH_18_PROT_A,-11.04,train,train,train,train,test
2HGH_19_RNA_B_2HGH_19_PROT_A,-11.04,train,train,train,train,test
2HGH_1_RNA_B_2HGH_1_PROT_A,-11.04,train,train,train,train,test
2HGH_2_RNA_B_2HGH_2_PROT_A,-11.04,train,train,train,train,test
2HGH_3_RNA_B_2HGH_3_PROT_A,-11.04,train,train,train,train,test
2HGH_4_RNA_B_2HGH_4_PROT_A,-11.04,train,train,train,train,test
2HGH_5_RNA_B_2HGH_5_PROT_A,-11.04,train,train,train,train,test
2HGH_6_RNA_B_2HGH_6_PROT_A,-11.04,train,train,train,train,test
2HGH_7_RNA_B_2HGH_7_PROT_A,-11.04,train,train,train,train,test
2HGH_8_RNA_B_2HGH_8_PROT_A,-11.04,train,train,train,train,test
2HGH_9_RNA_B_2HGH_9_PROT_A,-11.04,train,train,train,train,test
2IX1_0_RNA_B_2IX1_0_PROT_A,-10.38,train,train,train,train,test
2KFY_0_RNA_B_2KFY_0_PROT_A,-8.84,train,test,train,train,train
2KFY_10_RNA_B_2KFY_10_PROT_A,-8.84,train,test,train,train,train
2KFY_11_RNA_B_2KFY_11_PROT_A,-8.84,train,test,train,train,train
2KFY_12_RNA_B_2KFY_12_PROT_A,-8.84,train,test,train,train,train
2KFY_13_RNA_B_2KFY_13_PROT_A,-8.84,train,test,train,train,train
2KFY_14_RNA_B_2KFY_14_PROT_A,-8.84,train,test,train,train,train
2KFY_15_RNA_B_2KFY_15_PROT_A,-8.84,train,test,train,train,train
2KFY_16_RNA_B_2KFY_16_PROT_A,-8.84,train,test,train,train,train
2KFY_17_RNA_B_2KFY_17_PROT_A,-8.84,train,test,train,train,train
2KFY_18_RNA_B_2KFY_18_PROT_A,-8.84,train,test,train,train,train
2KFY_19_RNA_B_2KFY_19_PROT_A,-8.84,train,test,train,train,train
2KFY_1_RNA_B_2KFY_1_PROT_A,-8.84,train,test,train,train,train
2KFY_2_RNA_B_2KFY_2_PROT_A,-8.84,train,test,train,train,train
2KFY_3_RNA_B_2KFY_3_PROT_A,-8.84,train,test,train,train,train
2KFY_4_RNA_B_2KFY_4_PROT_A,-8.84,train,test,train,train,train
2KFY_5_RNA_B_2KFY_5_PROT_A,-8.84,train,test,train,train,train
2KFY_6_RNA_B_2KFY_6_PROT_A,-8.84,train,test,train,train,train
2KFY_7_RNA_B_2KFY_7_PROT_A,-8.84,train,test,train,train,train
2KFY_8_RNA_B_2KFY_8_PROT_A,-8.84,train,test,train,train,train
2KFY_9_RNA_B_2KFY_9_PROT_A,-8.84,train,test,train,train,train
2KG0_0_RNA_B_2KG0_0_PROT_A,-7.4,train,train,train,test,train
2KG0_10_RNA_B_2KG0_10_PROT_A,-7.4,train,train,train,test,train
2KG0_11_RNA_B_2KG0_11_PROT_A,-7.4,train,train,train,test,train
2KG0_12_RNA_B_2KG0_12_PROT_A,-7.4,train,train,train,test,train
2KG0_13_RNA_B_2KG0_13_PROT_A,-7.4,train,train,train,test,train
2KG0_14_RNA_B_2KG0_14_PROT_A,-7.4,train,train,train,test,train
2KG0_15_RNA_B_2KG0_15_PROT_A,-7.4,train,train,train,test,train
2KG0_16_RNA_B_2KG0_16_PROT_A,-7.4,train,train,train,test,train
2KG0_17_RNA_B_2KG0_17_PROT_A,-7.4,train,train,train,test,train
2KG0_18_RNA_B_2KG0_18_PROT_A,-7.4,train,train,train,test,train
2KG0_19_RNA_B_2KG0_19_PROT_A,-7.4,train,train,train,test,train
2KG0_1_RNA_B_2KG0_1_PROT_A,-7.4,train,train,train,test,train
2KG0_2_RNA_B_2KG0_2_PROT_A,-7.4,train,train,train,test,train
2KG0_3_RNA_B_2KG0_3_PROT_A,-7.4,train,train,train,test,train
2KG0_4_RNA_B_2KG0_4_PROT_A,-7.4,train,train,train,test,train
2KG0_5_RNA_B_2KG0_5_PROT_A,-7.4,train,train,train,test,train
2KG0_6_RNA_B_2KG0_6_PROT_A,-7.4,train,train,train,test,train
2KG0_7_RNA_B_2KG0_7_PROT_A,-7.4,train,train,train,test,train
2KG0_8_RNA_B_2KG0_8_PROT_A,-7.4,train,train,train,test,train
2KG0_9_RNA_B_2KG0_9_PROT_A,-7.4,train,train,train,test,train
2KG1_0_RNA_B_2KG1_0_PROT_A,-8.84,train,train,test,train,train
2KG1_10_RNA_B_2KG1_10_PROT_A,-8.84,train,train,test,train,train
2KG1_11_RNA_B_2KG1_11_PROT_A,-8.84,train,train,test,train,train
2KG1_12_RNA_B_2KG1_12_PROT_A,-8.84,train,train,test,train,train
2KG1_13_RNA_B_2KG1_13_PROT_A,-8.84,train,train,test,train,train
2KG1_14_RNA_B_2KG1_14_PROT_A,-8.84,train,train,test,train,train
2KG1_15_RNA_B_2KG1_15_PROT_A,-8.84,train,train,test,train,train
2KG1_16_RNA_B_2KG1_16_PROT_A,-8.84,train,train,test,train,train
2KG1_17_RNA_B_2KG1_17_PROT_A,-8.84,train,train,test,train,train
2KG1_18_RNA_B_2KG1_18_PROT_A,-8.84,train,train,test,train,train
2KG1_19_RNA_B_2KG1_19_PROT_A,-8.84,train,train,test,train,train
2KG1_1_RNA_B_2KG1_1_PROT_A,-8.84,train,train,test,train,train
2KG1_2_RNA_B_2KG1_2_PROT_A,-8.84,train,train,test,train,train
2KG1_3_RNA_B_2KG1_3_PROT_A,-8.84,train,train,test,train,train
2KG1_4_RNA_B_2KG1_4_PROT_A,-8.84,train,train,test,train,train
2KG1_5_RNA_B_2KG1_5_PROT_A,-8.84,train,train,test,train,train
2KG1_6_RNA_B_2KG1_6_PROT_A,-8.84,train,train,test,train,train
2KG1_7_RNA_B_2KG1_7_PROT_A,-8.84,train,train,test,train,train
2KG1_8_RNA_B_2KG1_8_PROT_A,-8.84,train,train,test,train,train
2KG1_9_RNA_B_2KG1_9_PROT_A,-8.84,train,train,test,train,train
2KX5_0_RNA_A_2KX5_0_PROT_B,-12.271,train,test,train,train,train
2KX5_1_RNA_A_2KX5_1_PROT_B,-12.271,train,test,train,train,train
2KX5_2_RNA_A_2KX5_2_PROT_B,-12.271,train,test,train,train,train
2KX5_3_RNA_A_2KX5_3_PROT_B,-12.271,train,test,train,train,train
2KX5_4_RNA_A_2KX5_4_PROT_B,-12.271,train,test,train,train,train
2KX5_5_RNA_A_2KX5_5_PROT_B,-12.271,train,test,train,train,train
2KX5_6_RNA_A_2KX5_6_PROT_B,-12.271,train,test,train,train,train
2KX5_7_RNA_A_2KX5_7_PROT_B,-12.271,train,test,train,train,train
2KX5_8_RNA_A_2KX5_8_PROT_B,-12.271,train,test,train,train,train
2KX5_9_RNA_A_2KX5_9_PROT_B,-12.271,train,test,train,train,train
2KXN_0_RNA_A_2KXN_0_PROT_B,-8.09,train,train,train,train,test
2KXN_10_RNA_A_2KXN_10_PROT_B,-8.09,train,train,train,train,test
2KXN_11_RNA_A_2KXN_11_PROT_B,-8.09,train,train,train,train,test
2KXN_1_RNA_A_2KXN_1_PROT_B,-8.09,train,train,train,train,test
2KXN_2_RNA_A_2KXN_2_PROT_B,-8.09,train,train,train,train,test
2KXN_3_RNA_A_2KXN_3_PROT_B,-8.09,train,train,train,train,test
2KXN_4_RNA_A_2KXN_4_PROT_B,-8.09,train,train,train,train,test
2KXN_5_RNA_A_2KXN_5_PROT_B,-8.09,train,train,train,train,test
2KXN_6_RNA_A_2KXN_6_PROT_B,-8.09,train,train,train,train,test
2KXN_7_RNA_A_2KXN_7_PROT_B,-8.09,train,train,train,train,test
2KXN_8_RNA_A_2KXN_8_PROT_B,-8.09,train,train,train,train,test
